,ds,y,weather_pc,weather_pc2,visibility,is_winter,is_summer,is_spring_fall
218,2021-12-04 09:00:00,35321.0,-5192.587966065978,1061.4577443720063,19890.0,1,0,0
219,2021-12-04 06:00:00,37277.0,-22011.053000344964,1424.3444518286553,3070.0,1,0,0
220,2021-12-04 03:00:00,35095.0,-21012.66543484965,1109.6908032189565,4070.0,1,0,0
221,2021-12-04 00:00:00,35448.0,-7744.895127212009,647.9457312393705,17340.0,1,0,0
222,2021-12-03 21:00:00,41662.0,-5086.352926361895,389.5671092693639,20000.0,1,0,0
223,2021-12-03 18:00:00,43245.0,-22796.585844108075,409.9520779252276,2290.0,1,0,0
224,2021-12-03 15:00:00,41131.0,-15667.56246586833,214.08377514741693,9420.0,1,0,0
225,2021-12-03 12:00:00,41157.0,15259.767911265111,-382.10213605628525,40350.0,1,0,0
226,2021-12-03 09:00:00,42231.0,-8951.868656011122,-616.7034119695259,16140.0,1,0,0
227,2021-12-03 06:00:00,43107.0,-12662.388653856447,-629.8413120273781,12430.0,1,0,0
228,2021-12-03 03:00:00,40181.0,-24761.90219600698,-475.3566211142345,330.0,1,0,0
229,2021-12-03 00:00:00,40221.0,-341.38821712351677,-417.0133957178661,24750.0,1,0,0
230,2021-12-02 21:00:00,40746.0,12120.192509283665,-149.30299729199825,37210.0,1,0,0
231,2021-12-02 18:00:00,42045.0,30451.108387435706,-28.187850443160045,55540.0,1,0,0
232,2021-12-02 15:00:00,39576.0,25071.983888751372,139.52152071034084,50160.0,1,0,0
233,2021-12-02 12:00:00,39482.0,-7926.827689575345,427.628983111894,17160.0,1,0,0
234,2021-12-02 09:00:00,40453.0,-1835.535375807188,694.5339650952226,23250.0,1,0,0
235,2021-12-02 06:00:00,41398.0,-22382.450729394495,1330.391928894488,2700.0,1,0,0
236,2021-12-02 03:00:00,38403.0,-2640.973159932537,1507.690243117476,22440.0,1,0,0
237,2021-12-02 00:00:00,38549.0,-5169.949128486005,1628.795793069335,19910.0,1,0,0
238,2021-12-01 21:00:00,39328.0,-6770.242167218236,1501.2972089477435,18310.0,1,0,0
239,2021-12-01 18:00:00,40640.0,1629.146674772315,1324.3225621440401,26710.0,1,0,0
240,2021-12-01 15:00:00,37947.0,-6571.158904754552,1251.5455085331962,18510.0,1,0,0
241,2021-12-01 12:00:00,37859.0,-11801.56381149607,1142.5892021487505,13280.0,1,0,0
242,2021-12-01 09:00:00,38868.0,-6031.098039993597,1203.7217604649904,19050.0,1,0,0
243,2021-12-01 06:00:00,40052.0,-5972.735652964879,904.007537246339,19110.0,1,0,0
244,2021-12-01 03:00:00,37418.0,-5285.457939655891,369.39555595518704,19800.0,1,0,0
245,2021-12-01 00:00:00,37782.0,-20618.24088546262,-158.63322308327204,4470.0,1,0,0
246,2021-11-30 21:00:00,41192.0,-16310.767392330385,-648.7919625545816,8780.0,0,0,1
247,2021-11-30 18:00:00,46206.0,-15042.336412369772,-908.5216752583076,10050.0,0,0,1
248,2021-11-30 15:00:00,39380.0,9226.2211980952,-1197.726490758422,34320.0,0,0,1
249,2021-11-30 12:00:00,40832.0,-5505.200644606001,-1406.8094070798527,19590.0,0,0,1
250,2021-11-30 09:00:00,45895.0,-24706.031450603023,-1508.2968135261997,390.0,0,0,1
251,2021-11-30 06:00:00,46250.0,-23435.331426845158,-1324.1798082001662,1660.0,0,0,1
252,2021-11-30 03:00:00,37532.0,-24774.750331309624,-1177.7010948457564,320.0,0,0,1
253,2021-11-30 00:00:00,38219.0,-22014.720697115466,-1140.845442434702,3080.0,0,0,1
254,2021-11-29 21:00:00,45115.0,-9303.892950764715,-970.9837946762308,15790.0,0,0,1
255,2021-11-29 18:00:00,50005.0,5677.738776643069,-649.5121375284102,30770.0,0,0,1
256,2021-11-29 15:00:00,33228.0,24349.426825257804,-341.044865679416,49440.0,0,0,1
257,2021-11-29 12:00:00,33447.0,12521.151924224534,16.249236378282536,37610.0,0,0,1
258,2021-11-29 09:00:00,37611.0,-9077.803102361002,277.8915460168727,16010.0,0,0,1
259,2021-11-29 06:00:00,47949.0,-1127.0079728835185,466.63138383588296,23960.0,0,0,1
260,2021-11-29 03:00:00,37074.0,-24416.34734859404,679.7909390029673,670.0,0,0,1
261,2021-11-29 00:00:00,38065.0,-19395.419738131422,875.302512020499,5690.0,0,0,1
262,2021-11-28 21:00:00,39792.0,34524.51084354473,783.6177795101335,59610.0,0,0,1
263,2021-11-28 18:00:00,41387.0,34914.29782656119,814.6131005918874,60000.0,0,0,1
264,2021-11-28 15:00:00,31099.0,33704.13117344025,830.330862085368,58790.0,0,0,1
265,2021-11-28 12:00:00,32029.0,19403.559921112344,744.759509042973,44490.0,0,0,1
266,2021-11-28 09:00:00,33595.0,22033.264685948154,690.7386917851936,47120.0,0,0,1
267,2021-11-28 06:00:00,39712.0,16594.219170666805,939.3452489892027,41680.0,0,0,1
268,2021-11-28 03:00:00,34734.0,14364.477776251548,1049.8643527136312,39450.0,0,0,1
269,2021-11-28 00:00:00,35865.0,12315.564941953324,1226.652501945499,37400.0,0,0,1
270,2021-11-27 21:00:00,40501.0,21456.934921932818,1445.0996112533899,46540.0,0,0,1
271,2021-11-27 18:00:00,43273.0,34259.85310704601,1936.9488079058683,59340.0,0,0,1
272,2021-11-27 15:00:00,33734.0,4982.217515655136,2415.144007132388,30060.0,0,0,1
273,2021-11-27 12:00:00,33880.0,-20696.591448599866,2618.5843787988733,4380.0,0,0,1
274,2021-11-27 09:00:00,36381.0,18873.658353881536,2541.825742239531,43950.0,0,0,1
275,2021-11-27 06:00:00,39737.0,-19654.894405195573,2924.7723768092633,5420.0,0,0,1
276,2021-11-27 03:00:00,33618.0,15086.454323936423,3117.8739681074007,40160.0,0,0,1
277,2021-11-27 00:00:00,34691.0,-19204.79558665735,2948.1389014154392,5870.0,0,0,1
278,2021-11-26 21:00:00,40381.0,-13636.034695608343,2667.086323814678,11440.0,0,0,1
279,2021-11-26 18:00:00,45113.0,-8588.842172325461,2118.3237492509243,16490.0,0,0,1
280,2021-11-26 15:00:00,38163.0,7468.544921605417,1586.6439539728472,32550.0,0,0,1
281,2021-11-26 12:00:00,38918.0,-5194.3113660414565,1037.3047426157334,19890.0,0,0,1
282,2021-11-26 09:00:00,42245.0,-20355.604876249155,813.3619176542774,4730.0,0,0,1
283,2021-11-26 06:00:00,42786.0,-21735.68923749951,828.2944606330188,3350.0,0,0,1
