,horizon,mse,rmse,mae,mdape,smape,coverage
182,12 days 19:00:00,1722827452256.4353,1312565.2182868612,1079222.8004324147,2.1206182885254843,1.152548772395885,0.7324052590873937
183,12 days 19:30:00,1723097610940.3738,1312668.1267328667,1079427.971304954,2.1206182885254843,1.1527057547676625,0.7324052590873934
184,12 days 20:00:00,1723739261227.7263,1312912.5108809522,1079920.9245301292,2.1206182885254843,1.1531048019207681,0.7324052590873942
185,12 days 20:30:00,1724336704123.6907,1313140.016953139,1080320.5897146098,2.1206182885254843,1.1532006913227582,0.7324052590873935
186,12 days 21:00:00,1724962829492.493,1313378.4030097697,1080717.913480504,2.1206182885254843,1.1532353480971937,0.7324052590873938
187,12 days 21:30:00,1725587571703.958,1313616.2193365146,1081107.5044770797,2.1206182885254843,1.1532353800654447,0.7324052590873936
188,12 days 22:00:00,1726231538380.239,1313861.3086548515,1081496.3789337035,2.1206182885254843,1.1532353928101327,0.7324052590873938
189,12 days 22:30:00,1726892173327.6655,1314112.6943027624,1081884.5321989565,2.1206182885254843,1.1532353928101327,0.7324052590873938
190,12 days 23:00:00,1727558831828.247,1314366.3233011742,1082271.9642626445,2.1206182885254843,1.1532353928101333,0.7324052590873942
191,12 days 23:30:00,1728218930034.5227,1314617.4082350053,1082658.6727953046,2.1206182885254843,1.1532353928101324,0.732405259087394
192,13 days 00:00:00,1728863310441.59,1314862.4682610687,1083044.6554683829,2.1206182885254843,1.1532353928101324,0.732405259087394
193,13 days 00:30:00,1729489491037.322,1315100.5630891207,1083429.9099542564,2.1206182885254843,1.1532353928101318,0.7324052590873934
194,13 days 01:00:00,1730102131837.0962,1315333.467922525,1083814.433926258,2.1206182885254843,1.1532353928101327,0.7324052590873938
195,13 days 01:30:00,1730710864661.0889,1315564.8462394732,1084198.2250586888,2.1206182885254843,1.1532353928101335,0.7324052590873935
196,13 days 02:00:00,1731326386867.5112,1315798.763818963,1084581.281026843,2.1206182885254843,1.153235392810133,0.7324052590873938
197,13 days 02:30:00,1731956210753.9436,1316038.0734439045,1084963.599507009,2.1206182885254843,1.1532353928101322,0.732405259087394
198,13 days 03:00:00,1732601555177.0212,1316283.2351652214,1085345.1781765101,2.1206182885254843,1.1532353928101324,0.7324052590873933
199,13 days 03:30:00,1733256539502.0752,1316532.012334708,1085726.014713709,2.1206182885254843,1.1532353928101329,0.7324052590873938
200,13 days 04:00:00,1733910180836.0024,1316780.2325505964,1086106.106798027,2.1206182885254843,1.1532353928101335,0.732405259087394
201,13 days 04:30:00,1734550881262.1536,1317023.4930562756,1086485.4513365612,2.1206182885254843,1.1532353928101327,0.732405259087394
202,13 days 05:00:00,1735172346804.7603,1317259.4075597867,1086864.046010915,2.1206182885254843,1.1532353835431937,0.7324052590873936
203,13 days 05:30:00,1735605267001.9563,1317423.7234094262,1087110.5891288507,2.1206182885254843,1.1533042977391492,0.7324052590873936
204,13 days 06:00:00,1736324265724.608,1317696.5757429167,1087559.4246526966,2.1206182885254843,1.1536182965609483,0.7324052590873936
205,13 days 06:30:00,1737101310279.1006,1317991.3923387742,1088131.7329494504,2.1206182885254843,1.1542733590033198,0.7324052590873941
206,13 days 07:00:00,1737755312416.185,1318239.4746085345,1088809.65482723,2.1655237227728694,1.15545907698966,0.7324052590873942
207,13 days 07:30:00,1737912633104.5833,1318299.144012687,1089061.831214354,2.1655237227728694,1.155749113728324,0.7324052590873941
208,13 days 08:00:00,1737446862076.7231,1318122.476129105,1088527.151950388,2.1655237227728694,1.1556456760242106,0.7324052590873942
209,13 days 08:30:00,1735884243099.035,1317529.5985665882,1087269.200515865,2.1655237227728694,1.1551193008593894,0.7326630574890434
210,13 days 09:00:00,1732787214822.3154,1316353.75747643,1086095.8017820476,2.1655237227728694,1.1548082151514674,0.7336942510956425
211,13 days 09:30:00,1727660742916.862,1314405.0908745227,1084621.9873686938,2.1655237227728694,1.1545171005349253,0.7352410415055424
212,13 days 10:00:00,1722029439068.579,1312261.193158046,1083156.070362127,2.1655237227728694,1.1542675961477815,0.7360144367104927
213,13 days 10:30:00,1716783249323.3647,1310260.7562326533,1081889.330672666,2.1655237227728694,1.1540733531127114,0.7367878319154425
